Overview,,,,,,,,,,,,,,,,,,
Nocturne,,,Nocturne,,,Nocturne,,,,夜想曲,,,,,,Ноктюрн,,
Renaissance,,,Renaissance,,,Renaissance,,,,,,,,,,,,
Menagerie,,,Menagerie,,,Menagerie,,,,,,,,,,,,
Promo,是 (2),ano (4),ja (6),kyllä (9),oui (10),ja (12),,,,はい (10),,ja (3),tak (8),,,да (10),sí (6),
[edit]  Basic cards,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Greek,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Romanian,Russian,Spanish,Swedish
Copper,銅錢,Měďák,Koper,Kupariraha,Cuivre,Kupfer,Χάλκινο,Réz,Rame,銅貨,동,Kobber,Miedziaki,Cobre,Aramă,Медь,Cobre,Koppar
Silver,銀幣,Stříbrňák,Zilver,Hopearaha,Argent,Silber,Ασημένιο,Ezüst,Argento,銀貨,은,Sølv,Srebrniki,Prata,Argint,Серебро,Plata,Silver
Gold,金幣,Zlaťák,Goud,Kultaraha,Or,Gold,Χρυσό,Arany,Oro,金貨,금,Gull,Złoto,,Aur,Золото,Oro,Guld
Estate,莊園,Statek,Landgoed,Tila,Domaine,Anwesen,Κτήμα,Birtok,Tenuta,屋敷,사유지,Herregård,Posiadłość,Propriedade,Moşie,Поместье,Finca,Gods
Duchy,公國,Vévodství,Hertogdom,Pitäjä,Duché,Herzogtum,Δουκάτο,Hercegség,Ducato,公領,공작령,Grevskap,Powiat,Ducado,Ducat,Герцогство,Ducado,Hertigdöme
Province,行省,Provincie,Provincie,Lääni,Province,Provinz,Επαρχία,Tartomány,Provincia,属州,속주,Provins,Prowincja,Provincia,Provincie,Провинция,Provincia,Provins
Curse,詛咒,Kletba,Vloek,Kirous,Malédiction,Fluch,Κατάρα,Átok,Maledizione,呪い,저주,Forbannelse,Klątwa,,Blestem,Проклятие,Maldición,Förbannelse
Trash,,Smetiště,Vernietigde Kaarten,Tuhotut kortit,Rebut,Müll,,,,,,,Śmietnisko,,,Свалка,,Skrot
[edit]  Dominion (Base Set),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cards in italics have been removed.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Greek,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portoguese,Romanian,Russian,Spanish,Swedish
Cellar,地窖,Sklepení,Kelder,Kellari,Cave,Keller,,Pince,Sotterraneo,地下貯蔵庫,저장고,Kjeller,Piwnica,,Pivniţă,Погреб,Sótano,Källare
Chapel,禮拜堂,Kaple,Kapel,Kappeli,Chapelle,Kapelle,Παρεκκλήσι,Kápolna,Cappella,礼拝堂,예배당,Kapell,Kaplica,,Capela,Часовня,Capilla,
Moat,護城河,Hradní příkop,Slotgracht,Vallihauta,Douves,Burggraben,Τάφρος,Várárok,Fossato,堀,해자,Vollgrav,Fosa,,Șanț,Ров,Foso,Vallgrav
Chancellor,大臣,Kancléř,Raadsheer,Kansleri,Chancelier,Kanzler,Καγκελάριος,Kancellár,Cancelliere,宰相,법관,Rikskansler,Kanclerz,,Cancelar,Канцлер,Canciller,
Harbinger,,,Voorbode,,,Vorbotin,,,,先駆者,,,Zwiastun,,,Предвестник,,
Merchant,,,Koopman,,,Händlerin,,,,商人,,,Kupiec,,,Купец,,
Vassal,,,Vazal,,,Vasall,,,,家臣,,,Wasal,,,Подданный,,
Village,村莊,Vesnice,Dorp,Kylä,Village,Dorf,,Falu,Villaggio,村,마을,Landsby,Wioska,,Sat,Деревня,Aldea,By
Woodcutter,伐木工,Dřevorubec,Houthakker,Metsuri,Bûcheron,Holzfäller,Ξυλοκόπος,Favágó,Taglialegna,木こり,나무꾼,Tømmerhogger,Drwal,,Tăietorul de Lemne,Лесоруб,Leñadores,Skogshuggare
Workshop,工作室,Dílna,Werkplaats,Työpaja,Atelier,Werkstatt,,Műhely,Officina,工房,작업장,Verksted,Warsztat,,Atelier,Мастерская,Taller,Verkstad
Bureaucrat,官員,Úředník,Bureaucraat,Byrokraatti,Bureaucrate,Bürokrat,,Hivatalnok,Burocrate,役人,관료,Byråkrat,Urzędnik,,Birocrat,Чиновник,Burócrata,
Feast,晚宴,Hostina,Feest,Pidot,Festin,Festmahl,Γιορτή,Lakoma,Banchetto,祝宴,연회,Gilde,Uczta,Festim,Ospăţ,Пир,Banquete,
Gardens,花園,Zahrady,Tuinen,Puutarha,Jardins,Gärten,Κήποι,Park,Giardini,庭園,정원,Park,Ogrody,Jardins,Ogrody,Сады,Jardines,
Militia,義勇軍,Milice,Militie,Nostoväki,Milice,Miliz,Πολιτοφυλακή,Polgárőrség,Milizia,民兵,민병대,Hird,Milicja,Milicia,Gardă,Ополчение,Milicia,Milis
Moneylender,錢莊,Lichvář,Geldschieter,Koronkiskuri,Prêteur sur gages,Geldverleiher,Τοκογλύφος,Uzsorás,Usuraio,金貸し,대금업자,Pengeutlåner,Lichwiarz,Agiota,Cămătar,Ростовщик,Prestamista,
Poacher,,,Wilddief,,,Wilddiebin,,,,密猟者,,,Kłusownik,,,Браконьер,,
Remodel,重建,Přestavba,Verbouwing,Muutostyö,Rénovation,Umbau,,Átépítés,Miglioria,改築,개조,Ombygging,Przebudowa,Remodelar,Remodelare,Реконструкция,Remodelar,Ombyggnad
Smithy,鐵匠,Kovárna,Smidse,Takomo,Forgeron,Schmiede,Σιδεράς,Kovácsműhely,Fucina,鍛冶屋,대장장이,Smie,Kuźnia,Forja,Fierar,Кузница,Herrería,Smed
Spy,間諜,Špion,Spion,Vakooja,Espion,Spion,Κατάσκοπος,Kém,Spia,密偵,첩자,Spion,Szpieg,Espião,Spion,Шпион,Espía,
Thief,小偷,Zloděj,Dief,Varas,Voleur,Dieb,,Tolvaj,Ladro,泥棒,도둑,Tyv,Złodziej,Ladrão,Hoțul,Вор,Ladrón,
Throne Room,王座,Trůnní sál,Troonzaal,Valtaistuinsali,Salle du Trône,Thronsaal,Αίθουσα του θρόνου,Trónterem,Sala del Trono,玉座の間,알현실,Tronsal,Sala tronowa,Sala do Trono,Sala tronului,Тронный Зал,Salón del Trono,
Bandit,,,Bandiet,,,Banditin,,,,山賊,,,Bandyta,,,Бандит,,
Council Room,議事廳,Zasedání rady,Raadszaal,Raatihuone,Chambre du conseil,Ratsversammlung,,Tanácsterem,Sala del Consiglio,議事堂,평의회실,Rådssal,Sala obrad,,Sala de Consiliu,Зал Совета,Sala del Consejo,
Festival,慶典,Jarmark,Festival,Juhlat,Festival,Jahrmarkt,,Fesztivál,Fiera,祝祭,축제,Festival,Festyn,,Festival,Фестиваль,Festival,
Laboratory,實驗室,Laboratoř,Laboratorium,Laboratorio,Laboratoire,Laboratorium,Εργαστήριο,Laboratórium,Laboratorio,研究所,실험실,Laboratorium,Laboratorium,Laboratório,Laborator,Лаборатория,Laboratorio,
Library,圖書館,Knihovna,Bibliotheek,Kirjasto,Bibliothèque,Bibliothek,Βιβλιοθήκη,Könyvtár,Biblioteca,書庫,도서관,Bibliotek,Biblioteka,,Bibliotecă,Библиотека,Biblioteca,
Market,市集,Trh,Markt,Tori,Marché,Markt,,Piac,Mercato,市場,시장,Marked,Targowisko,,Piaţă,Рынок,Mercado,Marknad
Mine,礦坑,Důl,Mijn,Kaivos,Mine,Mine,,Bánya,Miniera,鉱山,광산,Gruve,Kopalnia,,Mină,Рудник,Mina,Gruva
Sentry,,,Cipier,,,Torwächterin,,,,番兵,,,Wartownik,,,Часовой,,
Witch,女巫,Čarodějnice,Heks,Noita,Sorcière,Hexe,,Boszorkány,Strega,魔女,마녀,Heks,Wiedźma,,Vrăjitoare,Ведьма,Bruja,
Adventurer,冒險者,Dobrodruh,Avonturier,Seikkailija,Aventurier,Abenteurer,Τυχοδιώκτης,Kalandor,Esploratore,冒険者,모험가,Eventyrer,Odkrywca,Aventureiro,Aventurier,Искатель приключений,Aventurero,
Artisan,,,Ambachtsman,,,Töpferei,,,,陶芸家,,,Rękodzielnik,,,Мастеровой,,
[edit]  Intrigue,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cards in italics have been removed.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Russian,Spanish,,,,
Courtyard,庭院,Hradní nádvoří,Binnenplaats,Sisäpiha,Cour,Burghof,Palotaudvar,Cortile di Campagna,中庭,안마당,Slottshage,Dziedziniec,Внутренний Двор,Patio,,,,
Lurker,,,Voyeur,,,Herumtreiberin,,,伏兵,,,,Притаившийся,,,,,
Pawn,小兵,Pěšák,Pion,Apuri,Pion,Handlanger,Csatlós,Pedina,手先,졸개,Kongsmann,Giermek,Подневольный,Peón,,,,
Secret Chamber,密室,Tajemná komnata,Geheime Kamer,Salainen kammio,Chambre secrète,Geheimkammer,Rejtekszoba,Stanza Segreta,秘密の部屋,비밀의 방,Lønnkammer,Tajna komnata,Тайник,Cámara Secreta,,,,
Great Hall,大殿,Velký sál,Grote Zaal,Suuri sali,Grand Hall,Grosse Halle,Nagyterem,Grande Salone,大広間,대회당,Storsal,Westybul,Зал приёмов,Gran Sala,,,,
Masquerade,化妝舞會,Maškary,Maskerade,Naamiaiset,Mascarade,Maskerade,Álarcosbál,Ballo in Maschera,仮面舞踏会,가면 무도회,Maskerade,Maskarada,Маскарад,Mascarada,,,,
Shanty Town,貧民窟,Chudinská čtvrť,Sloppenwijk,Hökkelikylä,Taudis,Armenviertel,Kunyhótelep,Baraccopoli,貧民街,빈민가,Fattigkvarter,Rudera,Трущобы,Chabolas,,,,
Steward,男侍,Správce,Lakei,Käskynhaltija,Intendant,Verwalter,Intéző,Maggiordomo,執事,집사,Kammerherre,Zarządca,Управляющий,Mayordomo,,,,
Swindler,騙徒,Podvodník,Oplichter,Huijari,Escroc,Trickser,Szélhámos,Truffatore,詐欺師,사기꾼,Bedrager,Kanciarz,Мошенник,Embaucador,,,,
Wishing Well,許願井,Studna přání,Wensput,Toivomuskaivo,Puits aux souhaits,Wunschbrunnen,Kívánságok kútja,Pozzo dei Desideri,願いの井戸,소원의 우물,Ønskebrønn,Studnia życzeń,Колодец Желаний,Pozo de los Deseos,,,,
Baron,男爵,Baron,Baron,Paroni,Baron,Baron,Báró,Barone,男爵,남작,Baron,Baron,Барон,Barón,,,,
Bridge,橋樑,Most,Brug,Silta,Pont,Brücke,Híd,Ponte,橋,다리,Bro,Most,Мост,Puente,,,,
Conspirator,共謀者,Spiklenec,Samenzweerder,Vehkeilijä,Conspirateur,Verschwörer,Összeesküvő,Cospiratori,共謀者,공모자,Renkesmed,Spiskowiec,Заговорщик,Conspirador,,,,
Coppersmith,銅匠,Měditepec,Kopersmid,Kupariseppä,Chaudronnier,Kupferschmied,Rézműves,Battirame,銅細工師,동세공인,Kobbersmed,Mennica,Медник,Artesano del Cobre,,,,
Diplomat,,,Diplomaat,,,Diplomatin,,,外交官,,,,Дипломат,,,,,
Ironworks,打鐵舖,Hutě,Ijzergieterij,Rautapaja,Fonderie,Eisenhütte,Kohó,Fonderia,鉄工所,철공소,Jernverk,Huta żelaza,Кузнечный Цех,Fundición,,,,
Mill,,,Molen,,,Mühle,,,風車小屋,,,,Мельница,,,,,
Mining Village,礦業小鎮,Důlní osada,Mijndorp,Kaivoskylä,Village minier,Bergwerk,Bányászfalu,Villaggio Minerario,鉱山の村,광산촌,Bergstad,Osada górnicza,Шахтёрская Деревня,Aldea Minera,,,,
Secret Passage,,,Geheime Doorgang,,,Geheimgang,,,抜け穴,,,,Секретный Проход,,,,,
Scout,斥候,Zvěd,Verkenner,Tiedustelija,Éclaireur,Späher,Felderítő,Scout,偵察員,정찰병,Speider,Zwiadowca,Следопыт,Explorador,,,,
Courtier,,,Makelaar,,,Höflinge,,,廷臣,,,,Придворный,,,,,
Duke,公爵,Vévoda,Hertog,Herttua,Duc,Herzog,Herceg,Duca,公爵,공작,Greve,Starosta,Герцог,Duque,,,,
Minion,爪牙,Služebník,Dienaar,Kätyri,Larbin,Lakai,Udvaronc,Tirapiedi,寵臣,하수인,Lensmann,Sługus,Приспешник,Esbirro,,,,
Patrol,,,Patrouille,,,Patrouille,,,警備兵,,,,Дозор,,,,,
Replace,,,Vervanging,,,Austausch,,,交替,,,,Замещение,,,,,
Saboteur,炸彈客,Sabotér,Saboteur,Tihulainen,Saboteur,Saboteur,Szabotőr,Sabotatore,破壊工作員,파괴 공작원,Sabotør,Sabotażysta,Саботажник,Saboteador,,,,
Torturer,酷刑者,Žalářník,Folteraar,Kiduttaja,Bourreau,Kerkermeister,Kínvallató,Carceriere,拷問人,고문기술자,Skarpretter,Oprawca,Мучитель,Torturador,,,,
Trading Post,商棧,Obchodní místo,Handelspost,Kauppa-asema,Comptoir,Handelsposten,Vándorpiac,Stazione Commerciale,交易所,교역소,Handelsstasjon,Faktoria,Фактория,Puesto Comercial,,,,
Tribute,朝貢,Dar poddaných,Tolheffing,Kymmenykset,Hommage,Tribut,Sarc,Tributo,貢物,공물,Tiende,Danina,Подать,Tributo,,,,
Upgrade,升級,Pokrok,Opwaardering,Parannustyö,Mise à niveau,Anbau,Fejlesztés,Potenziamento,改良,개선,Oppgradering,Rozbudowa,Улучшение,Mejora,,,,
Harem,後宮,Harém,Harem,Haaremi,Harem,Harem,Hárem,Harem,ハーレム,하렘,Harem,Harem,Гарем,Harén,,,,
Nobles,貴族,Šlechtici,Adel,Aateliset,Nobles,Adelige,Nemesség,Nobili,貴族,귀족,Adelsmenn,Szlachta,Вельможи,Nobles,,,,
[edit]  Seaside,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Italian,Japanese,Korean,Polish,Russian,Spanish,,,,,,
Embargo,封港令,Embargo,Embargo,Saarto,Embargo,Embargo,Embargo,抑留,입항금지,Embargo,Эмбарго,Embargo,,,,,,
Haven,港口,Přístav,Haven,Satama,Havre,Hafen,Rada,停泊所,정박소,Przystań,Гавань,Puerto,,,,,,
Lighthouse,燈塔,Maják,Vuurtoren,Majakka,Phare,Leuchtturm,Faro,灯台,등대,Latarnia morska,Маяк,Faro,,,,,,
Native Village,原生部落,Domorodá vesnice,Inheems Dorp,Alkuasukaskylä,Village indigène,Eingeborenendorf,Villaggio Indigeno,原住民の村,원주민 마을,Wioska tubylców,Поселение Аборигенов,Poblado Indígena,,,,,,
Pearl Diver,採珠人,Lovec perel,Parelduiker,Helmenkalastaja,Plongeur de perles,Perlentaucher,Pescatore di Perle,真珠採り,진주조개잡이,Poławiacz pereł,Ловец Жемчуга,Pescador de Perlas,,,,,,
Ambassador,大使,Velvyslanec,Boodschapper,Suurlähettiläs,Ambassadeur,Botschafter,Ambasciatore,大使,대사,Ambasador,Посол,Embajador,,,,,,
Fishing Village,漁村,Rybářská vesnice,Vissersdorp,Kalastajakylä,Village de pêcheurs,Fischerdorf,Villaggio di Pescatori,漁村,어촌,Wioska rybacka,Рыбацкая Деревня,Pueblo de Pescadores,,,,,,
Lookout,瞭望員,Strážní koš,Uitkijk,Tähystäjä,Vigie,Ausguck,Vedetta,見張り,망루,Bocianie gniazdo,Смотровой,Vigía,,,,,,
Smugglers,走私者,Pašeráci,Smokkelaar,Salakuljettajat,Contrebandiers,Schmuggler,Contrabbandieri,密輸人,밀수업자,Przemytnicy,Контрабандисты,Contrabandistas,,,,,,
Warehouse,倉庫,Skladiště,Pakhuis,Varasto,Entrepôt,Lagerhaus,Magazzino,倉庫,창고,Magazyn,Склад,Almacén,,,,,,
Caravan,商隊,Karavana,Karavaan,Karavaani,Caravane,Karawane,Carovana,隊商,대상,Karawana,Караван,Caravana,,,,,,
Cutpurse,扒手,Kapsář,Beurzensnijder,Taskuvaras,Coupeur de bourses,Beutelschneider,Borseggiatore,巾着切り,소매치기,Kieszonkowiec,Карманник,Ratero,,,,,,
Island,島嶼,Ostrov,Eiland,Saari,Île,Insel,Isola,島,섬,Wyspa,Остров,Isla,,,,,,
Navigator,領航員,Navigátor,Navigator,Luotsi,Navigateur,Navigator,Navigatore,航海士,항해사,Nawigator,Штурман,Navegante,,,,,,
Pirate Ship,海盜船,Pirátská loď,Piratenschip,Merirosvolaiva,Bateau pirate,Piratenschiff,Nave Pirata,海賊船,해적선,Okręt piracki,Пиратский Корабль,Barco Pirata,,,,,,
Salvager,打撈員,Zachránce,Afvalverwerker,Hylkysukeltaja,Sauveteur,Müllverwerter,Recupero,引揚水夫,인양작업,Wyławiacz,Спасатель,Rescatador,,,,,,
Sea Hag,海巫,Mořská čarodějnice,Zeeheks,Merennoita,Sorcière de mer,Seehexe,Megera dei Mari,海の妖婆,바다 마녀,Morska wiedźma,Морская Ведьма,Bruja del Mar,,,,,,
Treasure Map,藏寶圖,Mapa pokladu,Schatkaart,Aarrekartta,Carte aux trésors,Schatzkarte,Mappa del Tesoro,宝の地図,보물지도,Mapa skarbu,Карта Сокровищ,Mapa del Tesoro,,,,,,
Bazaar,趕集,Bazar,Bazaar,Basaari,Bazar,Bazar,Bazar,バザー,상점가,Bazar,Базар,Bazar,,,,,,
Explorer,探險者,Objevitel,Ontdekkingsreiziger,Tutkimusmatkailija,Explorateur,Entdecker,Avventuriero,探検家,탐험가,Zdobywca,Исследователь,Exploradora,,,,,,
Ghost Ship,幽靈船,Loď duchů,De Vliegende Hollander,Aavelaiva,Vaisseau fantôme,Geisterschiff,Nave Fantasma,幽霊船,유령선,Okręt widmo,Корабль-Призрак,Barco Fantasma,,,,,,
Merchant Ship,商船,Obchodní loď,Handelsschip,Kauppalaiva,Navire marchand,Handelsschiff,Nave Mercantile,商船,상선,Okręt kupiecki,Торговый Корабль,Barco Mercante,,,,,,
Outpost,前哨,Strážnice,Voorpost,Rannikkoasema,Avant-poste,Aussenposten,Avamposto,前哨地,전진기지,Przyczółek,Аванпост,Puesto Avanzado,,,,,,
Tactician,策士,Taktik,Strateeg,Taktikko,Tacticien,Taktiker,Stratega,策士,책략가,Strateg,Тактик,Estratega,,,,,,
Treasury,金庫,Pokladnice,Schatkamer,Aarrekammio,Trésorerie,Schatzkammer,Tesoro,宝物庫,보물창고,Skarbiec,Казна,Tesorería,,,,,,
Wharf,碼頭,Loděnice,Scheepswerf,Laituri,Quai,Werft,Molo,船着場,부두,Nabrzeże,Верфь,Muelle,,,,,,
[edit]  Alchemy,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Italian,Japanese,Russian,Spanish,,,,,,,,
Transmute,,Přeměna,Transformatie,Transmutaatio,Transmutation,Verwandlung,Trasmutazione,変成,Превращение,Transmutar,,,,,,,,
Vineyard,,Vinice,Wijnberg,Viinitarha,Vignoble,Weinberg,Vigna,ブドウ園,Виноградник,Viñedo,,,,,,,,
Herbalist,,Bylinkář,Kruidenexpert,Yrttikauppias,Herboriste,Kräuterkundiger,Erborista,薬草商,Травник,Herbalista,,,,,,,,
Apothecary,,Lékárník,Apotheker,Apteekkari,Apothicaire,Apotheker,Farmacista,薬師,Аптекарь,Boticario,,,,,,,,
Scrying Pool,占卜,Vidění,Visioen,Ennemalja,Bassin divinatoire,Vision,Divinazione,念視の泉,Гадательная Чаша,Hidromancia,,,,,,,,
University,大學,Univerzita,Universiteit,Yliopisto,Université,Universität,Università,大学,Университет,Universidad,,,,,,,,
Alchemist,煉金術士,Alchymista,Alchemist,Alkemisti,Alchimiste,Alchemist,Alchimista,錬金術師,Алхимик,Alquimista,,,,,,,,
Familiar,,Alchymistův poskok,Oude bekende,Apuolento,Familier,Vertrauter,Famiglio,使い魔,Фамильяр,Familiar,,,,,,,,
Philosopher's Stone,哲人石,Kámen mudrců,Steen der wijzen,Viisasten kivi,Pierre philosophale,Stein der Weisen,Pietra Filosofale,賢者の石,Философский Камень,Piedra Filosofal,,,,,,,,
Potion,藥劑,Elixír,Toverdrank,Rohto,Potion,Trank,Pozione,ポーション,Зелье,Poción,,,,,,,,
Golem,魔像,Golem,Golem,Golem,Golem,Golem,Golem,ゴーレム,Голем,Golem,,,,,,,,
Apprentice,學徒,Učedník,Leerling,Oppipoika,Apprenti,Lehrling,Apprendista,弟子,Подмастерье,Aprendiz,,,,,,,,
Possession,附身,Posedlost,Bezeten,Riivaus,Possession,Besessenheit,Possessione,支配,Одержимость,Posesión,,,,,,,,
[edit]  Prosperity,,,,,,,,,,,,,,,,,,
English,Czech,Dutch,Finnish,French,German,Italian,Japanese,Polish,Russian,Spanish,,,,,,,,
Loan,Půjčka,Lening,Laina,Prêt,Lohn,Prestito,借金,Kredyt,Ссуда,Préstamo,,,,,,,,
Trade Route,Obchodní stezka,Handelsroute,Kauppareitti,Route commerciale,Handelsroute,Mercante,交易路,Szlak handlowy,Торговый Путь,Ruta comercial,,,,,,,,
Watchtower,Strážní věž,Uitkijktoren,Vartiotorni,Mirador,Wachturm,Torre di Guardia,望楼,Strażnica,Сторожевая Башня,Atalaya,,,,,,,,
Bishop,Biskup,Bisschop,Piispa,Évêque,Bischof,Vescovo,司教,Biskup,Епископ,Obispo,,,,,,,,
Monument,Památník,Monument,Monumentti,Monument,Denkmal,Monumento,記念碑,Monument,Памятник,Monumento,,,,,,,,
Quarry,Kamenolom,Steengroeve,Louhos,Carrière,Steinbruch,Cava,石切場,Kamieniołom,Карьер,Cantera,,,,,,,,
Talisman,Talisman,Talisman,Talismaani,Talisman,Talisman,Talismano,護符,Talizman,Талисман,Talismán,,,,,,,,
Worker's Village,Dělnická čtvrť,Arbeidersdorp,Työläiskylä,Village ouvrier,Arbeiterdorf,Cantiere,労働者の村,Wioska robotnicza,Рабочий Посёлок,Pueblo de Trabajadores,,,,,,,,
City,Město,Stad,Kaupunki,Ville,Stadt,Città,都市,Miasto,Город,Ciudad,,,,,,,,
Contraband,Kontraband,Smokkelwaar,Hämärät varat,Contrebande,Schmuggelware,Contrabbando,禁制品,Kontrabanda,Контрабанда,Contrabando,,,,,,,,
Counting House,Zastavárna,Boekhouding,Tilitoimisto,Bureau de comptabilité,Leihhaus,Contabilità,会計所,Rachuba,Счётная Палата,Casa de cuentas,,,,,,,,
Mint,Mincovna,Aanmunten,Rahapaja,Hôtel de la Monnaie,Münzer,Zecca,造幣所,Mincerz,Монетный Двор,Acuñador,,,,,,,,
Mountebank,Mastičkář,Charlatan,Petkuttaja,Charlatan,Quacksalber,Ciarlatano,香具師,Szarlatan,Шаралатан,Charlatán,,,,,,,,
Rabble,Dav,Gespuis,Rahvas,Foule,Gesindel,Tumulto,大衆,Motłoch,Сброд,Chusma,,,,,,,,
Royal Seal,Královská pečeť,Koninklijk zegel,Sinetti,Sceau royal,Königliches Siegel,Sigillo Reale,玉璽,Królewska pieczęć,Королевская Печать,Sello Real,,,,,,,,
Vault,Trezor,Schatkelder,Holvi,Chambre forte,Gewölbe,Nascondiglio,保管庫,Składnica,Хранилище,Cripta,,,,,,,,
Venture,Odvážlivec,Waagstuk,Palkkio,Entreprise risquée,Abenteuer,Soldo,投機,Złoty interes,Авантюра,Especulación,,,,,,,,
Goons,Hrdlořez,Domkoppen,Roistot,Fiers-à-bras,Halsabschneider,Scagnozzi,ならず者,Naciągacze,Головорезы,Matones,,,,,,,,
Grand Market,Velký trh,Grote markt,Suurtori,Grand marché,Grosser Markt,Mercato di Lusso,大市場,Wielki targ,Центральный Рынок,Gran Mercado,,,,,,,,
Hoard,Bohatství,Spaargeld,Aarre,Magot,Hort,Mucchio,隠し財産,Krocie,Сокровищница,Tesoro escondido,,,,,,,,
Bank,Banka,Bank,Pankki,Banque,Bank,Banca,銀行,Bank,Банк,Banco,,,,,,,,
Expand,Růst,Uitbreiden,Laajennus,Agrandissement,Ausbau,Ampliamento,拡張,Modernizacja,Расширение,Expansión,,,,,,,,
Forge,Kování,Vervalsen,Ahjo,Forge,Kunstschmiede,Incastonare,鍛造,Płatnerz,Ковка,Forja,,,,,,,,
King's Court,Královský dvůr,Koningshof,Kuninkaan Hovi,Cour du Roi,Königshof,Corte,宮廷,Rada królewska,Королевский Суд,Corte Real,,,,,,,,
Peddler,Podomní obchodník,Venter,Kulkukauppias,Colporteur,Hausierer,Ambulante,行商人,Domokrążca,Коробейник,Buhonero,,,,,,,,
Platinum,Platina,Platina,Platina,Platine,Platin,Platino,白金貨,Platyna,Платина,Platino,,,,,,,,
Colony,Kolonie,Kolonie,Siirtomaa,Colonie,Kolonie,Colonia,植民地,Kolonia,Колония,Colonia,,,,,,,,
[edit]  Cornucopia,,,,,,,,,,,,,,,,,,
English,Czech,Dutch,Finnish,French,German,Italian,Japanese,Polish,Russian,Spanish,,,,,,,,
Bag of Gold,Pytel zlata,Zak met goud,Kultapussi,Sac d'or,Ein Sack voll Gold,Borsa d'Oro,金貨袋,Worek Złota,Мешок Золота,Bolsa de Oro,,,,,,,,
Diadem,Diadém,Tiara,Otsakoru,Diadème,Diadem,Diadema,王冠,Diadem,Диадема,Diadema,,,,,,,,
Followers,Stoupenci,Volgelingen,Seuraajat,Partisans,Gefolge,Sostenitori,郎党,Korowód,Последователи,Seguidores,,,,,,,,
